date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:27	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Nov%202022%2011:50:27%20GMT	https://www.mytraveltalkies.com/robots.txt		(from )
17:20:27	58116/58116	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Nov%202022%2011:50:27%20GMT	https://www.mytraveltalkies.com/	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/index.html	(from )
17:20:29	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:29%20GMT	https://mytraveltalkies.com/image/my-img/favicon.png	C:/Users/skasa/Music/basera/mytraveltalkies.com/image/my-img/favicon.0.delayed	(from https://www.mytraveltalkies.com/)
17:20:29	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2016%20Nov%202022%2011:50:29%20GMT	https://www.mytraveltalkies.com/image/my-img/favicon.png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/image/my-img/favicon.png	(from https://www.mytraveltalkies.com/)
17:20:29	261/261	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:30%20GMT	https://mytraveltalkies.com/css/bootstrap.min.css	C:/Users/skasa/Music/basera/mytraveltalkies.com/css/bootstrap.min.css	(from https://www.mytraveltalkies.com/)
17:20:30	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:31%20GMT	https://mytraveltalkies.com/css/owl.carousel.min.css	C:/Users/skasa/Music/basera/mytraveltalkies.com/css/owl.carousel.min.css	(from https://www.mytraveltalkies.com/)
17:20:31	187832/187832	---M--	200	added ('OK')	text/css	date:Sun,%2005%20Jan%202020%2011:12:20%20GMT	https://www.mytraveltalkies.com/css/bootstrap.min.css	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/css/bootstrap.min.css	(from https://www.mytraveltalkies.com/)
17:20:31	2937/2937	---M--	200	added ('OK')	text/css	date:Sun,%2005%20Jan%202020%2011:12:26%20GMT	https://www.mytraveltalkies.com/css/owl.carousel.min.css	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/css/owl.carousel.min.css	(from https://www.mytraveltalkies.com/)
17:20:31	262/262	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:31%20GMT	https://mytraveltalkies.com/css/magnific-popup.css	C:/Users/skasa/Music/basera/mytraveltalkies.com/css/magnific-popup.css	(from https://www.mytraveltalkies.com/)
17:20:31	6951/6951	---M--	200	added ('OK')	text/css	date:Sun,%2005%20Jan%202020%2011:12:24%20GMT	https://www.mytraveltalkies.com/css/magnific-popup.css	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/css/magnific-popup.css	(from https://www.mytraveltalkies.com/)
17:20:32	264/264	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:32%20GMT	https://mytraveltalkies.com/css/font-awesome.min.css	C:/Users/skasa/Music/basera/mytraveltalkies.com/css/font-awesome.min.css	(from https://www.mytraveltalkies.com/)
